Title,Release Year,Rating,Director,Main Actors,Budget,Box Office Earnings
Guardians of the Galaxy Vol. 3,2023,8.046,James Gunn,"Chris Pratt, Zoe Saldaña, Dave Bautista, Karen Gillan, Pom Klementieff",250000000,821801000
Ant-Man and the Wasp: Quantumania,2023,6.5,Peyton Reed,"Paul Rudd, Evangeline Lilly, Jonathan Majors, Kathryn Newton, Michelle Pfeiffer",200000000,475766228
Captain Marvel,2019,6.853,Anna Boden,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Jude Law, Annette Bening",152000000,1131416446
The Avengers,2012,7.708,Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson",220000000,1518815515
Black Panther: Wakanda Forever,2022,7.229,Ryan Coogler,"Letitia Wright, Lupita Nyong'o, Danai Gurira, Winston Duke, Dominique Thorne",250000000,859102154
Thor: Love and Thunder,2022,6.551,Taika Waititi,"Chris Hemsworth, Natalie Portman, Christian Bale, Tessa Thompson, Taika Waititi",250000000,760928081
Iron Man 3,2013,6.926,Shane Black,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce, Rebecca Hall",200000000,1215577205
Iron Man 2,2010,6.834,Jon Favreau,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Sam Rockwell",200000000,623933331
Eternals,2021,7.0,Chloé Zhao,"Gemma Chan, Richard Madden, Angelina Jolie, Kumail Nanjiani, Barry Keoghan",200000000,402064899
Doctor Strange,2016,7.4,Scott Derrickson,"Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong, Mads Mikkelsen",180000000,676343174
Black Panther,2018,7.39,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman",200000000,1349926083
Iron Man,2008,7.635,Jon Favreau,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow, Leslie Bibb",140000000,585174222
Thor,2011,6.768,Kenneth Branagh,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins, Stellan Skarsgård",150000000,449326618
Guardians of the Galaxy,2014,7.9,James Gunn,"Chris Pratt, Zoe Saldaña, Dave Bautista, Vin Diesel, Bradley Cooper",170000000,772776600
Ant-Man,2015,7.1,Peyton Reed,"Paul Rudd, Michael Douglas, Evangeline Lilly, Bobby Cannavale, Corey Stoll",130000000,519311965
Doctor Strange in the Multiverse of Madness,2022,7.4,Sam Raimi,"Benedict Cumberbatch, Elizabeth Olsen, Chiwetel Ejiofor, Benedict Wong, Xochitl Gomez",200000000,952224986
Avengers: Infinity War,2018,8.26,Joe Russo,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson",300000000,2052415039
Avengers: Age of Ultron,2015,7.3,Joss Whedon,"Robert Downey Jr., James Spader, Mark Ruffalo, Chris Hemsworth, Chris Evans",365000000,1405403694
Avengers: Endgame,2019,8.266,Joe Russo,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson",356000000,2794731755
Thor: Ragnarok,2017,7.595,Taika Waititi,"Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Tessa Thompson, Jeff Goldblum",180000000,855301806
Guardians of the Galaxy Vol. 2,2017,7.623,James Gunn,"Chris Pratt, Zoe Saldaña, Dave Bautista, Vin Diesel, Bradley Cooper",200000000,863756051
Captain America: Civil War,2016,7.44,Joe Russo,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Chadwick Boseman",250000000,1153337496
Thor: The Dark World,2013,6.5,Alan Taylor,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Anthony Hopkins, Christopher Eccleston",170000000,644783140
Ant-Man and the Wasp,2018,6.953,Peyton Reed,"Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins, Bobby Cannavale",140000000,622674139
Captain America: The First Avenger,2011,6.992,Joe Johnston,"Chris Evans, Tommy Lee Jones, Hugo Weaving, Hayley Atwell, Sebastian Stan",140000000,370569774
Captain America: The Winter Soldier,2014,7.7,Joe Russo,"Chris Evans, Scarlett Johansson, Sebastian Stan, Anthony Mackie, Cobie Smulders",170000000,714766572
